Gi,GVhel,mag,Type,Type II Label
43.0,4103.0,16.3,II,Type II
40.0,2087.0,17.0,II,Type II
44.0,1671.0,15.1,II,Type II
62.0,4234.0,17.2,II,Type II
78.0,1174.0,16.8,II,Type II
44.0,3990.0,17.3,II,Type II
38.0,6978.0,17.3,II,Type II
32.0,2633.0,15.1,II,Type II
21.0,2845.0,16.4,II,Type II
30.0,1583.0,16.8,II,Type II
41.0,1394.0,12.4,IIPL,Type II
27.0,2626.0,15.7,II,Type II
34.0,5430.0,18.1,II,Type II
17.0,960.0,15.8,IIPec,Type II
34.0,2777.0,16.5,IIPec:,Type II
32.0,5090.0,16.3,II,Type II
17.0,1566.0,15.6,II,Type II
17.0,1566.0,13.0,II:,Type II
34.0,3277.0,17.3,II,Type II
38.0,6980.0,17.0,II,Type II
59.0,4030.0,18.5,II,Type II
62.0,8499.0,17.1,II,Type II
32.0,5936.0,17.8,II:,Type II
56.0,9091.0,17.5,II,Type II
84.0,1420.0,15.7,II,Type II
79.0,1882.0,14.8,IIn,Type II
59.0,1238.0,15.2,IIL,Type II
40.0,8290.0,18.1,II,Type II
59.0,6533.0,18.7,II,Type II
48.0,5198.0,17.1,II,Type II
68.0,2889.0,16.7,II,Type II
17.0,1270.0,13.5,II,Type II
52.0,864.0,15.0,IIP,Type II
77.0,4182.0,17.5,II,Type II
90.0,1507.0,15.0,II,Type II
90.0,1149.0,12.6,IIL,Type II
30.0,2407.0,13.9,IIP,Type II
38.0,1519.0,14.3,IIP,Type II
21.0,262.0,14.5,II,Type II
0.0,13828.0,17.7,II,Type II
50.0,805.0,14.2,IIb,Type II
57.0,2619.0,15.7,IIn,Type II
36.0,1571.0,11.6,IIL,Type II
71.0,4716.0,15.2,IIn,Type II
64.0,727.0,17.1,IIn,Type II
69.0,3249.0,16.3,II,Type II
60.0,4248.0,17.0,II,Type II
60.0,4248.0,14.0,II,Type II
56.0,2569.0,17.4,II,Type II
56.0,3448.0,16.9,II,Type II
90.0,6910.0,18.9,II,Type II
46.0,7165.0,16.7,II,Type II
68.0,930.0,14.4,II,Type II
21.0,7210.0,17.9,II,Type II
56.0,8012.0,18.5,II,Type II
72.0,3254.0,16.8,II,Type II
71.0,6182.0,19.0,II,Type II
36.0,6132.0,18.0,IIb,Type II
62.0,5259.0,18.6,II,Type II
62.0,7339.0,17.4,IIn,Type II
56.0,1927.0,16.4,II,Type II
87.0,5285.0,18.1,II,Type II
44.0,3119.0,17.0,II,Type II
44.0,3119.0,16.8,II,Type II
47.0,8963.0,18.0,II,Type II
36.0,12589.0,17.3,IIn,Type II
48.0,7396.0,17.3,IIb:,Type II
32.0,278.0,2.9,IIPec,Type II
40.0,475.0,16.0,IIPec,Type II
58.0,1292.0,14.6,IIL,Type II
55.0,6157.0,18.0,II,Type II
27.0,1104.0,15.4,IIP,Type II
46.0,1075.0,13.5,IIP,Type II
83.0,1164.0,14.4,II,Type II
53.0,1636.0,14.1,II,Type II
90.0,4409.0,17.0,II,Type II
71.0,7341.0,18.5,II,Type II
70.0,5996.0,18.0,II,Type II
41.0,6044.0,17.2,II,Type II
50.0,1275.0,17.2,IIPec,Type II
50.0,1275.0,15.0,II,Type II
58.0,4093.0,17.6,II,Type II
41.0,3092.0,17.3,II,Type II
64.0,4964.0,16.8,II,Type II
64.0,11842.0,17.3,II,Type II
68.0,3102.0,15.3,IIn,Type II
54.0,5239.0,17.8,IInPec,Type II
52.0,1406.0,15.1,II,Type II
52.0,1406.0,14.8,IIP,Type II
43.0,4411.0,16.8,II,Type II
79.0,2319.0,16.5,IIP,Type II
86.0,7616.0,20.4,II,Type II
50.0,1449.0,15.6,II,Type II
41.0,2553.0,15.5,II,Type II
59.0,2738.0,16.3,II,Type II
58.0,2770.0,14.8,IIn,Type II
44.0,2791.0,17.0,II,Type II
59.0,2723.0,15.9,II,Type II
44.0,2518.0,15.9,II,Type II
48.0,2282.0,16.7,II,Type II
44.0,8799.0,16.8,II,Type II
58.0,4340.0,16.6,II,Type II
70.0,4486.0,16.1,II,Type II
40.0,2420.0,17.3,II,Type II
60.0,1561.0,14.5,II,Type II
38.0,9293.0,18.3,II,Type II
90.0,5900.0,17.5,IIn,Type II
38.0,4342.0,15.5,IIn,Type II
58.0,2699.0,16.0,II,Type II
24.0,516.0,11.9,IIP,Type II
24.0,516.0,14.0,II,Type II
38.0,2265.0,14.1,IIn,Type II
86.0,2085.0,17.7,II,Type II
61.0,7270.0,17.0,IIPec,Type II
62.0,3758.0,17.4,II,Type II
90.0,2277.0,15.9,II,Type II
36.0,3452.0,18.0,II,Type II
53.0,1904.0,16.0,II,Type II
50.0,4167.0,16.8,II,Type II
27.0,3680.0,17.0,II,Type II
61.0,3109.0,14.0,II,Type II
34.0,10793.0,17.5,II,Type II
73.0,4265.0,18.6,II,Type II
51.0,1981.0,14.0,II,Type II
41.0,942.0,13.0,IIb,Type II
73.0,1571.0,15.0,IIP,Type II
66.0,915.0,12.9,IIn,Type II
90.0,2608.0,15.9,II,Type II
24.0,6100.0,18.3,II,Type II
59.0,9436.0,18.0,II,Type II
70.0,7195.0,17.5,II,Type II
