recno,SN,n_SN,Gname,RAG,DEG,Gi,GVhel,Gtype,mag,l_mag,Type,RA2000,DE2000,Disc,Type II Label
51,1948B, ,N 6946,308.7175,60.15333333333332,30.0,48.0,.SBT5.,14.7,=,IIP,308.8395833333333,60.17127777777777,Mayall,Type II
1944,2001dx, ,P63222,291.82499999999993,65.31666666666666,82.0,5704.0,.S..5.,17.2,>,II,291.820125,65.31633333333332,Li +,Type II
2886,2004cr, ,U11603,309.05999999999995,63.73999999999999,90.0,5188.0,.S..5.,17.8,>,II,309.02849999999995,63.73677777777777,Armstrong,Type II
1572,1999el, ,N 6951,309.30749999999995,66.10499999999999,41.0,1424.0,.SBT4.,14.5,=,IIn,309.3242916666666,66.10319444444444,"Cao, Qiu, Qiao, Hu",Type II
2924,2004ed, ,N 6786,287.7275,73.41,46.0,7500.0,.SB.4.,17.4,>,II,287.723625,73.40758333333332,Armstrong; Boles,Type II
1218,1997db,*,U11861,329.1,73.26166666666666,58.0,1481.0,.SX.7.,16.9,>,II,329.08554166666664,73.24705555555555,Schwartz,Type II
992,1995ag, ,U11861,329.1025,73.25999999999999,58.0,1481.0,.SX.7.,16.0,>,II,329.08083333333326,73.25377777777777,Mueller,Type II
983,1995X, ,U 12160,340.225,75.16499999999999,40.0,1555.0,.S..5,18.0,>,II,340.21374999999995,75.1698611111111,Mueller,Type II
724,1990K, ,N  150,8.565,-27.805,62.0,1584.0,.SBT3.,14.0,>,II,8.558374999999998,-27.796305555555552,Evans,Type II
2892,2004cx, ,N 7755,356.9675,-30.52,41.0,2963.0,.SB.5.,16.8,>,II,356.97025,-30.525722222222218,Monard,Type II
2005,2001gg, ,ANON,11.3375,-29.75333333333333,,182873.0, ,23.4,>,II,11.336791666666665,-29.753388888888885,Altavilla et al.,Type II
2380,2002iw, ,ANON,355.78,-9.801666666666666,,59958.0, ,21.8,>,II,355.7802083333333,-9.801444444444444,"Smith, Suntzeff (CTIO), Stubbs - ESSENCE project",Type II
2381,2002ix, ,ANON,352.75249999999994,-9.485,,89937.0, ,22.2,>,II,352.7535416666666,-9.485333333333331,"Smith, Suntzeff (CTIO), Stubbs - ESSENCE project",Type II
1740,2000da, ,U    5,0.7749999999999999,-1.913333333333333,63.0,7271.0,.SB.4.,17.5,>,II,0.7771666666666666,-1.9116111111111107,Lick Observatory Supernova Search,Type II
2127,2002D, ,N  594,23.2375,-16.534999999999997,62.0,5413.0,.S..4*,16.7,>,II,23.24083333333333,-16.535361111111108,"Swift, Li +",Type II
2949,2004fc, ,N  701,27.765,-9.701666666666664,61.0,1831.0,.SB.5.,15.4,>,II,27.766041666666663,-9.701916666666666,"Shimasaki, Li+",Type II
2916,2004dv, ,M-01-6-12,29.715,-8.163333333333332,46.0,4754.0,.SB.5.,18.5,>,II,29.71983333333333,-8.16986111111111,"Ganeshalingam, Li+",Type II
1617,1999ge, ,N  309,14.179999999999998,-9.913333333333332,32.0,5662.0,.SBR5.,16.0,>,II,14.18233333333333,-9.911944444444442,Lick Observatory Supernova Search,Type II
1392,1998dn, ,N  337A,15.389999999999995,-7.588333333333332,47.0,1094.0,.SBS7.,15.8,>,II,15.362833333333333,-7.610194444444444,Cao,Type II
1577,1999eq, ,ANON,19.845,-3.605,,13323.0, ,19.0,>,II,19.84458333333333,-3.6055,Nearby Galaxies Supernova Search team,Type II
1768,2000ed, ,ANON,32.779999999999994,-4.376666666666666,,122915.0, ,23.7,>,II:,32.77879166666666,-4.3773888888888886,High-Z Supernova Search Team,Type II
2405,2002jv, ,ANON,31.145,-3.866666666666666,,59958.0, ,22.6,>,II,31.14508333333333,-3.8660833333333327,Challis  (ESSENCE project),Type II
2737,2003jx, ,ANON,31.64,-3.811666666666666,,59958.0, ,23.6,>,II,31.63916666666666,-3.811,ESSENCE project,Type II
2331,2002gz, ,ANON,38.5425,-0.8883333333333332,,25482.0, ,18.2,>,II,38.54316666666666,-0.8883888888888888,"Wood-Vasey, Aldering, Nugent, K.Li",Type II
981,1995V, ,N 1087,41.60249999999999,-0.4949999999999999,54.0,1515.0,.SBT5.,15.0,>,II,41.61154166666666,-0.4987777777777777,Evans,Type II
2060,2001ij, ,M 00-07-84,40.63249999999999,-1.015,63.0,11363.0,.S....,20.7,>,IIP,40.63179166666666,-1.0141944444444444,Miknaitis (Sloan Digital Sky Survey),Type II
2799,2004I, ,N 1072,40.88,0.3066666666666666,70.0,8018.0,.SB.3.,17.1,>,II,40.88012499999999,0.3085277777777777,"Swift, Burket, Graham, Foley, Li+",Type II
