recno,SN,n_SN,Gname,RAG,DEG,Gi,GVhel,Gtype,mag,l_mag,Type,RA2000,DE2000,Disc,Type I Label
1248,1997ef,*,U 4107,119.25749999999998,49.56666666666666,21.0,3504.0,.SAT5.,16.5,=,IcPec,119.26174999999998,49.56116666666666,Sano,Type I
2415,2002kf, ,C 233-023,99.32,49.85,,5786.0, ,16.0,>,Ia,99.31379166666666,49.85283333333333,Brady,Type I
826,1992M, ,LEDA2264866,108.7925,45.43166666666666,,15589.0, ,18.2,>,Ia,108.79145833333332,45.43241666666666,Mueller,Type I
1231,1997do, ,U 3845,111.67749999999998,47.09333333333333,47.0,3034.0,.SBS4.,14.2,=,Ia,111.67708333333331,47.09333333333333,"Qiu, Qiao, Li, Hu, Esamdin",Type I
1315,1998an, ,U 3683,107.0575,46.11666666666666,50.0,5719.0,.L....,15.3,>,Ia,107.07099999999998,46.11536111111111,Arbour,Type I
1637,2000B, ,N 2320,106.42499999999998,50.581666666666656,,5944.0,.E....,16.1,=,Ia,106.41970833333332,50.58624999999999,"Antonini, Colas, Frappa",Type I
1961,2001eo, ,U 3963,115.385,51.688333333333325,87.0,,.S..7.,17.3,>,Ia,115.37958333333331,51.68483333333332,"Puckett, Marcus",Type I
1243,1997ea, ,LEDA2409637,117.1525,52.22166666666666,,19487.0,.E....,19.0,>,Ia,117.15708333333332,52.22299999999999,"Adams, Montemayor, Howell, Wheeler, Ward, Wren",Type I
2711,2003ix, ,U 3746,108.61,55.148333333333326,53.0,7668.0,.S..3.,18.8,>,Ia,108.60716666666666,55.14816666666666,"Filippenko, Li+",Type I
1407,1998ec, ,U 3576,103.2775,50.03333333333333,57.0,5966.0,.SBS3.,16.9,>,Ia,103.27545833333332,50.039472222222216,"Qiu, Qiao, Hu",Type I
1091,1996bv, ,U 3432,94.0575,57.051666666666655,73.0,4998.0,.S..5.,15.5,=,Ia,94.05416666666666,57.05247222222221,BAO Supernova Survey,Type I
2741,2003kb, ,U 3432,94.0575,57.051666666666655,73.0,4998.0,.S..5.,18.0,>,Ia,94.05245833333332,57.05358333333333,"Singer, Beutler, Li+",Type I
1970,2001ex, ,U 3595,104.00249999999998,55.40166666666666,36.0,7908.0,RSBR3*,17.0,>,Ia,103.99954166666666,55.40083333333333,Boles,Type I
1821,2001C, ,P19975,104.89249999999998,59.51833333333333,57.0,3280.0,.S..5.,14.7,>,Ia,104.90041666666666,59.51711111111111,"Puckett, Sehgal",Type I
1758,2000dt, ,U 3411,92.73,62.01999999999999,51.0,6798.0,.S..5.,17.5,>,Ib,92.72783333333332,62.02427777777777,Armstrong,Type I
1825,2001G, ,M 08-17-43,137.3875,50.28166666666666,74.0,4500.0,.S..1.,14.2,>,Ia,137.38824999999997,50.28091666666666,Armstrong,Type I
1760,2000dv, ,U 4671,134.17749999999998,52.10499999999999,41.0,4053.0,.S..2.,17.5,>,Ib,134.1808333333333,52.10366666666666,Papenkova,Type I
153,1957A, ,N 2841,140.5075,50.975,63.0,638.0,.SAR3.,14.2,=,IPec,140.4633333333333,50.99777777777777,Schuerer,Type I
1511,1999by, ,N 2841,140.5075,50.975,63.0,638.0,.SAR3*,13.1,=,IaPec,140.4669583333333,51.00181666666666,"Arbour, Lick Observatory Supernova Search, Berko",Type I
2765,2003kz, ,M 09-16-34,144.65249999999995,52.295,,15110.0,.E....,18.5,>,Ia,144.64695833333332,52.29811111111111,Boles,Type I
2119,2001kq, ,LEDA3087026,143.39249999999998,55.173333333333325,,22095.0, ,19.1,>,Ia,143.39295833333333,55.17388888888888,"Madgwick, Hewett, Mortlock, Wang (Sloan DigitalSky Survey (SDSS))",Type I
2112,2001kj, ,LEDA2572362,140.62249999999997,57.90833333333333,,18767.0, ,18.1,>,Ia,140.62145833333332,57.90813888888888,"Madgwick, Hewett, Mortlock, Wang (Sloan DigitalSky Survey (SDSS))",Type I
2969,2004fw, ,U 4633,133.05999999999997,52.88999999999999,64.0,5777.0,.SB.3.,18.3,>,Ia,133.060625,52.89177777777777,"Puckett, Peoples",Type I
2204,2002cc, ,ANON,128.51,55.65166666666666,,19786.0, ,18.5,>,Ia,128.50820833333333,55.65344444444444,Li +,Type I
2480,2003Y, ,I  522,133.64499999999998,57.16666666666666,38.0,5079.0,.L....,16.7,>,Ia,133.64416666666665,57.17216666666666,"Beutler, Li+",Type I
1757,2000ds, ,N 2768,137.90499999999997,60.03666666666666,,1373.0,.E....,17.3,>,Ib/c,137.90099999999998,60.02838888888888,"Puckett, Dowdle",Type I
965,1995F, ,N 2726,136.23999999999998,59.93166666666666,74.0,1518.0,.S..1?,14.8,>,Ib/c,136.23916666666665,59.93297222222221,"Lane, Gray, Miskolczi",Type I
1903,2001ci, ,N 3079,150.49499999999998,55.67999999999999,90.0,1125.0,.SBS6.,17.7,>,Ic,150.48887499999998,55.68738888888888,"Swift, Li, Filippenko +",Type I
2055,2001ie, ,U 5542,154.21999999999997,60.28499999999999,,9215.0,.E...*,16.1,>,Ia,154.21124999999998,60.27902777777777,Bincoletto,Type I
1495,1999bh, ,N 3435,163.7025,61.28999999999999,50.0,5158.0,.S..3.,16.8,>,Ia,163.6957083333333,61.28888888888888,Lick Observatory Supernova Search,Type I
2458,2003A, ,U 5904,162.15749999999997,66.36166666666665,86.0,6591.0,DS..3.,17.4,>,Ib/c,162.1410833333333,66.37483333333333,"Schwartz, Li+",Type I
1367,1998cn, ,N 3735,173.98999999999998,70.535,90.0,2696.0,.SA.5*,15.8,>,Ia,173.97666666666663,70.53616666666666,Schwartz,Type I
1438,1999C, ,ANON,152.21249999999998,71.17833333333333,,37474.0, ,19.6,>,Ia,152.21337499999998,71.17858333333332,"Gal-Yam, Maoz",Type I
1181,1997bq, ,N 3147,154.22249999999997,73.39999999999999,30.0,2820.0,.SAT4.,14.5,>,Ia,154.2722083333333,73.38391666666665,Stephen Laurie,Type I
2845,2004bc, ,N 3465,164.87999999999997,75.19166666666666,34.0,7221.0,.S..2.,16.5,>,Ia,164.88087499999995,75.1913611111111,Manzini,Type I
2473,2003P, ,M 09-13-107,120.3125,55.74166666666666,,, ,18.0,>,Ia,120.31512499999998,55.743,Boles,Type I
2548,2003cp, ,M 10-12-78,122.2975,57.685,59.0,5927.0,.S..3.,16.2,>,Ia,122.29637499999998,57.68722222222222,Armstrong,Type I
1953,2001eg, ,U 3885,112.78,59.481666666666655,38.0,3809.0,.S..4.,17.8,>,Ia,112.77479166666664,59.47744444444444,Armstrong,Type I
1427,1998ex, ,P21593,115.42499999999998,64.73166666666665,21.0,11200.0,.S..5.,18.5,>,Ia,115.42616666666665,64.7339722222222,Mueller,Type I
2336,2002he, ,U 4322,125.00749999999998,62.82999999999999,,7364.0,.E....,16.1,=,IaPec:,124.995125,62.82033333333332,"Graham, Li+",Type I
2698,2003ik, ,M 11-10-56,121.03249999999998,62.98333333333333,90.0,7115.0,.S..5.,16.6,>,Ia,121.02716666666664,62.988833333333325,Boles,Type I
1718,2000ce, ,U 4195,121.2775,66.78333333333332,60.0,4888.0,.SBR3.,16.6,=,Ia,121.28937499999998,66.78755555555554,Puckett,Type I
1117,1997E, ,N 2258,101.93999999999998,74.48333333333332,51.0,4059.0,.LAR0.,15.6,>,Ia,101.90874999999998,74.49749999999999,Kushida,Type I
686,1989D, ,N 2963,146.95749999999998,72.96499999999999,61.0,6538.0,.SB.2.,16.2,=,Ia,146.96166666666664,72.97080555555554,Wild,Type I
600,1985A, ,N 2748,138.43749999999997,76.47333333333333,71.0,1476.0,.SA.4.,13.9,=,Ia,138.42666666666665,76.4733611111111,Wild,Type I
1132,1997T, ,U 6896,178.89999999999998,80.21666666666665,,12591.0,T.....,17.6,>,Ia,178.94774999999998,80.21183333333332,Mueller,Type I
964,1995E, ,N 2441,117.97749999999998,73.01499999999999,24.0,3470.0,.SBR3*,16.8,=,Ia,117.98645833333332,73.0096111111111,Gabrijelcic,Type I
640,1987L, ,N 2336,111.76999999999998,80.17666666666666,56.0,2204.0,.SBR4.,14.2,>,Ia,111.85979166666664,80.15849999999999,Patchick,Type I
528,1982B, ,N 2268,108.5625,84.37999999999998,61.0,2222.0,.SBR4.,13.5,=,Ia,108.64004166666663,84.38666666666666,Wild,Type I
2971,2004fy, ,M 15-1-10,175.1675,89.085,24.0,,.S..1.,17.0,>,Ia,175.3123333333333,89.08627777777777,"Puckett, Kerns",Type I
227,1963B, ,P54219,227.88,5.244999999999999,43.0,11798.0,.S....,17.0,>,I,227.88091666666665,5.244111111111111,Zwicky,Type I
2234,2002dg, ,ANON,224.3175,5.9,,14000.0, ,18.5,>,Ib,224.317875,5.9001666666666654,"Wood-Vasey, Aldering, Nugent",Type I
2315,2002gj, ,ANON,234.105,9.471666666666666,,131909.0, ,22.9,>,I,234.10625,9.471666666666666,"Supernova Cosmology Project, Knop",Type I
2316,2002gk, ,ANON,234.2825,9.605,,62956.0, ,21.3,>,Ia,234.28125,9.605277777777776,"Supernova Cosmology Project, Knop",Type I
2182,2002bg, ,M 02-38-31,224.91,13.214999999999998,44.0,12814.0,.S..1.,16.9,>,Ia,224.9134583333333,13.21236111111111,"Puckett, Newton",Type I
1541,1999dg, ,U 9758,227.8675,13.48333333333333,0.0,6613.0,.L....,15.8,>,Ia,227.868375,13.484916666666663,Lick Observatory Supernova Search,Type I
764,1991M, ,I 1151,239.635,17.441666666666663,72.0,2169.0,.SBT5.,14.4,>,Ia,239.6450833333333,17.45797222222222,"Pennypacker, Perlmutter, et al.",Type I
252,1964C, ,ANON,241.525,17.45,,,.S..3.,17.3,>,I,241.528625,17.459666666666664,Zwicky,Type I
1729,2000cp, , ,241.365,17.83,,10260.0, ,18.0,>,Ia,241.3650833333333,17.83022222222222,Lick Observatory Supernova Search,Type I
1032,1996O, ,M 03-41-115,241.5,18.196666666666665,66.0,11167.0,.SBT4.,18.0,>,Ia,241.5,18.196666666666665,Evans,Type I
2890,2004cv, ,M 03-41-120,241.56,18.415,47.0,11018.0,.SB.4.,16.6,>,Ia,241.5602083333333,18.415,Armstrong,Type I
780,1991ad, ,LEDA1537863,244.85,17.644999999999996,,20985.0, ,18.5,>,Ia,244.8508333333333,17.646111111111107,Mueller,Type I
769,1991R, ,LEDA140543,238.7225,19.015,,10500.0, ,18.0,>,Ib/c,238.72304166666663,19.01222222222222,McNaught,Type I
2863,2004bu, ,U10089,238.7175,21.116666666666664,90.0,5495.0,.S..5.,17.1,>,Ic,238.71679166666664,21.11972222222222,Boles,Type I
2256,2002ec, ,M 04-36-36,229.85,20.891666666666666,,11976.0,ME....,17.5,>,Ia,229.8537083333333,20.88722222222222,"Beutler, Li+",Type I
2888,2004ct, ,M 05-37-17,235.9425,28.415,0.0,10051.0,.SB.5.,17.5,>,Ia,235.94062499999995,28.416527777777773,Boles,Type I
785,1991ai, ,I 4434,216.9775,16.206666666666663,44.0,15830.0,.L....,18.5,>,Ia,216.9799583333333,16.205694444444443,Pollas,Type I
1485,1999ax, ,ANON,210.9925,15.851666666666665,,14990.0,M.....,18.5,>,Ia:,210.9913333333333,15.852555555555554,Wise Observatory Optical Transients Search,Type I
1204,1997cn,*,N 5490,212.49,17.544999999999998,,4855.0,.E....,16.2,=,Ia,212.49066666666664,17.542305555555554,BAO Supernova Survey,Type I
778,1991ab, ,LEDA 086449,209.84,19.681666666666665,40.0,19187.0,.S..5.,19.5,>,Ia,209.840375,19.685166666666664,Pollas,Type I
1909,2001co, ,N 5559,214.8025,24.79833333333333,77.0,5166.0,.SB.3.,18.5,>,Ib/cPec,214.79916666666665,24.79525,"Aazami, Li +",Type I
1869,2001ay, ,I 4423,216.575,26.246666666666663,57.0,9067.0,.S..4.,16.7,>,Ia,216.5708333333333,26.24883333333333,"Swift, Li +",Type I
2201,2002bz, ,P51473,216.17,26.625,43.0,11138.0,.S?...,16.9,>,Ia,216.1688333333333,26.62630555555555,"Puckett, Gauthier",Type I
1521,1999ci, ,ANON,223.0525,27.906666666666663,,35975.0, ,, ,Ia,223.05291666666665,27.906166666666664,Wise Observatory Optical Transients Search,Type I
226,1963A, ,M 05-36-32,231.7575,26.443333333333328,56.0,10403.0,.S..3.,18.1,>,I,231.75004166666665,26.45044444444444,Zwicky,Type I
1045,1996ab, ,ANON,230.2875,27.92333333333333,,39000.0, ,19.7,=,Ia,230.28479166666665,27.92688888888889,Mueller,Type I
1917,2001cw, ,ANON,230.7775,29.658333333333328,,279000.0, ,24.3,>,Ia,230.77629166666665,29.658861111111108,Subaru high-redshift supernova search group,Type I
209,1962B, ,U 9831,230.6875,29.77,40.0,6868.0,.S..1.,17.0,=,I,230.68879166666665,29.76894444444444,Zwicky,Type I
2671,2003hj, ,M 05-36-028,231.085,29.954999999999995,51.0,22594.0,.S..1.,17.5,>,Ia,231.0854583333333,29.953305555555552,Boles,Type I
