recno,SN,n_SN,Gname,RAG,DEG,Gi,GVhel,Gtype,mag,l_mag,Type,RA2000,DE2000,Disc
1544,"1999dj", ,"P 6612",27.047499999999996,35.398333333333326,,4497,"D.....",17.4,>,"II",27.045624999999998,35.39644444444444,"Puckett, Langoussis"
1934,"2001dn", ,"N  662",26.147499999999997,37.69666666666666,50,5654,".S..5.",15.5,>,"Ia",26.147166666666664,37.69713888888889,"Boles"
1931,"2001dk", ,"U  913",20.562499999999996,34.66833333333333,56,5124,".S..5.",15.6,>,"IIP",20.560791666666663,34.66980555555555,"Boles"
1949,"2001ec", ,"P74077",32.99999999999999,31.54333333333333,24,13599,".S..5.",17.8,>,"Ia",33.00179166666666,31.545499999999997,"Weisz, Li +"
243,"1963R", ,"P 9887",39.067499999999995,35.953333333333326,78,,".L....",16.8,>," ",39.065416666666664,35.953111111111106,"Kowal"
2696,"2003ii", ,"M 06-6-53",38.26749999999999,35.508333333333326,36,13491,".S..4.",18.4,>,"II",38.269999999999996,35.50825,"Boles"
1939,"2001ds", ,"U 1654",32.537499999999994,36.705,56,10869,".S..5.",16.2,>,"Ia:",32.53637499999999,36.705638888888885,"Boles; Hutchings, Li +"
2281,"2002fb", ,"N  759",29.459999999999997,36.34333333333333,,4667,".E....",16.5,=,"IaPec:",29.453749999999996,36.34063888888888,"Weisz, Li+"
2352,"2002hu", ,"M 06-6-12",34.574999999999996,37.464999999999996,34,8994,".S..5.",16.3,=,"Ia",34.58358333333333,37.46633333333333,"Boles"
1639,"2000D", ,"U 1767",34.519999999999996,38.07666666666666,,5176,".I..9.",16.2,>,"II",34.52016666666666,38.07427777777777,"Boles"
225,"1962R", ,"U 1810",35.37,39.37499999999999,58,7563,".SAS3P",15.4,>," ",35.37958333333333,39.382777777777775,"Kinman"
863,"1992az", ,"N  818",32.184999999999995,38.776666666666664,70,4244,".SB.5*",18.0,>,"II",32.19570833333333,38.77258333333333,"Pollas"
188,"1961C", ,"M 07-05-29",33.85249999999999,41.11666666666666,36,,".SB.5.",18.2,>," ",33.854749999999996,41.113749999999996,"Humason"
2934,"2004en", ,"LEDA2073199",39.107499999999995,35.989999999999995,,," ",18.2,>,"II",39.11054166666666,35.99041666666666,"Boles"
2908,"2004dn", ,"U 2069",38.904999999999994,37.63833333333333,55,3777,".SB.6.",17.5,>,"Ic",38.90541666666666,37.631722222222216,"Graham, Li+"
207,"1961V", ,"N 1058",40.87499999999999,37.34166666666666,44,518,".SAT5.",12.3,=,"IIPec",40.90174999999999,37.34544444444444,"Wild"
1088,"1996bs", ,"LEDA2150671",41.192499999999995,39.489999999999995,,," ",18.7,>," ",41.19291666666666,39.490694444444436,"Pollas"
2056,"2001if", ,"M 06-06-43",37.254999999999995,38.09833333333333,74,11313,"?L....",17.2,>,"Ia",37.228874999999995,38.09797222222222,"Boles"
2664,"2003hc", ,"U 1993",37.9175,39.37833333333333,84,8018,".S..3.",18.1,>,"II",37.92516666666666,39.36819444444444,"Boles"
1628,"1999gp", ,"U 1993",37.9175,39.37833333333333,84,8018,".S..3.",16.1,=,"Ia",37.913124999999994,39.38119444444444,"Lick Observatory Supernova Search"
1095,"1996bz", ,"LEDA2154710",37.85249999999999,39.73,,," ",19.3,>," ",37.850541666666665,39.73091666666666,"Pollas"
27,"1937D", ,"N 1003",39.817499999999995,40.87166666666666,76,626,".SAS5.",12.9,=,"Ia",39.83749999999999,40.87222222222222,"Zwicky"
1086,"1996bq", ,"N  996",39.66499999999999,41.648333333333326,,4584,".E....",18.7,>," ",39.66679166666666,41.65494444444444,"Pollas"
2329,"2002gx", ,"ANON",37.934999999999995,40.279999999999994,,23983," ",19.0,>,"Ia",37.936208333333326,40.27763888888888,"Wood-Vasey, Aldering, Nugent"
1087,"1996br", ,"U 2058",38.71999999999999,41.12,41,18887,".SB.4.",18.5,>," ",38.72304166666666,41.12047222222222,"Pollas"
995,"1995aj", ,"ANON",37.154999999999994,41.934999999999995,,,".S....",20.0,>,"Ia",37.15266666666666,41.933861111111106,"Pollas"
2941,"2004eu", ,"M 07-5-39",35.144999999999996,41.574999999999996,38,6493,".S..3.",17.3,>,"Ic",35.14525,41.57180555555555,"Boles"
625,"1986J", ,"N  891",35.637499999999996,42.34499999999999,84,528,".SAS3.",18.4,>,"Pec",35.6305,42.33252777777777,"van Gorkom, Rupen, Knapp, Gunn"
200,"1961O", ,"M 07-06-19",36.67249999999999,43.61166666666666,48,,".S..3.",17.0,>," ",36.68208333333333,43.614749999999994,"Humason"
248,"1963W", ,"ANON",37.74999999999999,43.949999999999996,,,".S..1.",17.0,>," ",37.75370833333333,43.977194444444436,"Kowal"
2268,"2002eo", ,"N  710",28.224999999999998,36.05333333333333,40,6132,".S..5.",17.8,>,"II",28.229916666666664,36.05616666666666,"Li+"
1954,"2001eh", ,"U 1162",24.564999999999998,41.65333333333333,47,11103,".SBR3.",16.5,>,"Ia",24.550416666666663,41.655222222222214,"Armstrong"
2714,"2003ja", ,"N  846",33.052499999999995,44.56833333333333,30,5118,".SB.2.",17.1,>,"II:",33.049208333333326,44.572444444444436,"Moore, Li+"
2308,"2002gc", ,"U 1394",28.924999999999997,46.80333333333333,65,6388,".S..1.",17.3,>,"IaPec",28.943999999999996,46.805388888888885,"Boles"
122,"1954ac", ,"U  465",10.962499999999999,32.85166666666666,78,4772,".SB.1.",18.0,>," ",10.961583333333332,32.84247222222222,"Mueller"
2059,"2001ii", ,"U  444",10.519999999999998,36.80499999999999,47,10664,".S..5.",18.6,>,"Ic",10.522666666666666,36.8015,"Li +"
800,"1991ay", ,"LEDA2167368",11.827499999999999,40.54333333333333,21,15000,".S....",18.5,>,"Ia",11.829083333333331,40.54102777777777,"Pollas"
2659,"2003gx", ,"M 06-3-7",15.729999999999999,37.673333333333325,57,10203,".S..3.",18.5,>,"II",15.729541666666664,37.66952777777777,"Boles"
2408,"2002jy", ,"N  477",20.334999999999997,40.489999999999995,66,5876,".SB.5.",15.4,=,"Ia",20.317708333333332,40.498749999999994,"Arbour; Vanmunster"
1624,"1999gl", ,"N  317B",14.417499999999999,43.79166666666666,65,5429,".SB.3.",16.2,>,"II",14.416958333333332,43.79322222222222,"Boles"
1,"1885A", ,"N  224",10.684999999999999,41.26833333333333,74,-300,".SAS3.",5.8,=,"IPec",10.679166666666665,41.26777777777777,"Hartwig"
1946,"2001dz", ,"U  471",11.174999999999999,45.42166666666666,32,14810,".SAS4.",18.1,>,"II",11.179708333333332,45.41958333333333,"Boles"
1739,"2000cz", ,"I 1535",3.4899999999999993,48.158333333333324,79,5231,".S..2.",17.7,>,"II",3.4926249999999994,48.15394444444444,"Armstrong"
